iter	Passed	Remaining
701	1001	425
702	1003	423
703	1005	422
704	1006	421
705	1007	419
706	1008	418
707	1009	416
708	1010	414
709	1011	413
710	1012	411
711	1013	409
712	1014	408
713	1016	407
714	1019	406
715	1020	404
716	1021	403
717	1022	401
718	1023	400
719	1024	398
720	1025	396
721	1026	395
722	1027	393
723	1027	391
724	1029	390
725	1031	389
726	1033	387
727	1034	386
728	1035	385
729	1036	383
730	1037	381
731	1038	380
732	1039	378
733	1040	377
734	1041	375
735	1042	373
736	1043	372
737	1046	371
738	1048	370
739	1049	368
740	1050	367
741	1051	365
742	1052	364
743	1053	362
744	1054	360
745	1054	359
746	1055	357
747	1056	355
748	1058	354
749	1061	353
750	1063	352
751	1064	351
752	1065	349
753	1066	347
754	1067	346
755	1068	344
756	1069	343
757	1070	341
758	1071	340
759	1073	338
760	1074	337
761	1076	336
762	1077	334
763	1078	333
764	1079	331
765	1080	330
766	1081	328
767	1082	327
768	1083	325
769	1084	323
770	1085	322
771	1088	321
772	1090	320
773	1092	318
774	1093	317
775	1094	315
776	1095	314
777	1096	312
778	1097	311
779	1098	309
780	1099	308
781	1100	306
782	1102	305
783	1105	304
784	1106	303
785	1107	301
786	1108	300
787	1109	298
788	1110	297
789	1111	295
790	1112	293
791	1113	292
792	1114	291
793	1116	289
794	1120	288
795	1121	287
796	1122	285
797	1123	284
798	1124	282
799	1125	281
800	1126	279
801	1128	278
802	1130	277
803	1132	276
804	1134	274
805	1135	273
806	1137	271
807	1138	270
808	1139	268
809	1140	267
810	1140	265
811	1141	264
812	1142	262
813	1145	261
814	1147	260
815	1149	259
816	1151	257
817	1152	256
818	1153	254
819	1153	253
820	1154	251
821	1155	250
822	1156	248
823	1157	247
824	1159	245
825	1160	244
826	1163	243
827	1164	241
828	1165	240
829	1166	238
830	1167	237
831	1168	235
832	1169	234
833	1170	232
834	1171	231
835	1171	229
836	1174	228
837	1176	227
838	1178	226
839	1179	224
840	1180	223
841	1181	221
842	1182	220
843	1183	218
844	1184	217
845	1185	215
846	1186	214
847	1188	212
848	1189	211
849	1191	210
850	1193	208
851	1194	207
852	1195	206
853	1196	204
854	1197	203
855	1198	201
856	1199	200
857	1199	198
858	1200	197
859	1202	195
860	1204	194
861	1207	193
862	1208	191
863	1209	190
864	1210	188
865	1211	187
866	1212	186
867	1213	184
868	1214	183
869	1216	181
870	1220	180
871	1222	179
872	1223	178
873	1224	176
874	1225	175
875	1226	173
876	1227	172
877	1228	170
878	1229	169
879	1231	167
880	1233	166
881	1235	165
882	1236	163
883	1237	162
884	1238	160
885	1239	159
886	1240	158
887	1241	156
888	1242	155
889	1243	153
890	1245	152
891	1247	151
892	1249	149
893	1250	148
894	1251	146
895	1252	145
896	1253	143
897	1254	142
898	1255	141
899	1256	139
900	1256	138
901	1257	136
902	1259	135
903	1261	133
904	1264	132
905	1265	131
906	1266	129
907	1267	128
908	1268	126
909	1269	125
910	1270	124
911	1271	122
912	1272	121
913	1274	119
914	1275	118
915	1278	117
916	1279	115
917	1281	114
918	1282	113
919	1283	111
920	1284	110
921	1285	108
922	1286	107
923	1286	105
924	1288	104
925	1290	103
926	1293	101
927	1294	100
928	1295	99
929	1296	97
930	1297	96
931	1298	94
932	1299	93
933	1300	91
934	1301	90
935	1302	89
936	1304	87
937	1306	86
938	1307	84
939	1308	83
940	1309	82
941	1310	80
942	1311	79
943	1312	77
944	1313	76
945	1314	75
946	1315	73
947	1317	72
948	1320	70
949	1322	69
950	1324	68
951	1325	66
952	1326	65
953	1327	63
954	1328	62
955	1329	61
956	1330	59
957	1332	58
958	1334	57
959	1336	55
960	1338	54
961	1339	52
962	1340	51
963	1341	50
964	1342	48
965	1343	47
966	1344	45
967	1346	44
968	1348	43
969	1350	41
970	1351	40
971	1352	38
972	1353	37
973	1354	36
974	1355	34
975	1356	33
976	1357	31
977	1358	30
978	1359	29
979	1361	27
980	1363	26
981	1365	25
982	1366	23
983	1367	22
984	1368	20
985	1369	19
986	1370	18
987	1371	16
988	1372	15
989	1373	13
990	1376	12
991	1379	11
992	1380	9
993	1381	8
994	1382	6
995	1383	5
996	1384	4
997	1385	2
998	1386	1
999	1387	0
